X,Y,OGF_ID,MOH_SERVICE_PROVIDER_IDENT,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,FRENCH_NAME,ENGLISH_NAME_ALT,FRENCH_NAME_ALT,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-79.7162309,43.7592427,321007444,3043514,Integrated Community Health Services Centre,"Bone Mineral Dxa, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",Cottrelle Diagnostic Imaging,,2566773 Ontario Inc.,,10 Cottrelle Boulevard,Unit 202,,Brampton,L6S0E2,2025/04/09 21:31:18+00,2025/04/09 14:32:41+00,2025/04/09 17:54:59+00,2258465
-79.6266959,43.7864326,321011741,1495956,Pharmacy,Retail Pharmacy,Wal-Mart Pharmacy,,,,8300 Highway 27,,,Woodbridge,L4H0R9,2025/04/09 21:32:43+00,2025/04/09 14:40:32+00,2025/04/09 17:54:59+00,2258481
-81.1532641,44.1226003,321017463,9463,Hospital,Site,South Bruce Grey Health Centre - Walkerton,,South Bruce Grey Health Centre,,21 McGivern St. W.,,,Walkerton,N0G2V0,2025/04/09 21:33:54+00,2025/04/09 14:51:14+00,2025/04/09 17:54:59+00,2258497
-79.4474717,44.0529366,321011599,1267471,Pharmacy,Home For Special Care,Parkview Manor,,,,683 Gorham Street,,,Newmarket,L3Y1L5,2025/04/09 21:36:27+00,2025/04/09 14:40:16+00,2025/04/09 17:54:59+00,2258513
-83.1114695,42.103045,321015603,8251278,Pharmacy,Retail Pharmacy,Old Town Pharmacy,,,,80 Richmond Street,,,Amherstburg,N9V1E9,2025/04/09 21:35:43+00,2025/04/09 14:47:44+00,2025/04/09 17:54:59+00,2258529
-79.3994742,43.6592604000001,321008165,3803,Mental Health and Addiction Organization,Mental Health Services,Centre For Addiction And Mental Health (CAMH),,,,250 College Street,,Practice Location,Toronto,M5T1R8,2025/04/09 21:38:16+00,2025/04/09 14:34:00+00,2025/04/09 17:54:59+00,2258545
-79.1129131,43.102698,321011956,2078058,Pharmacy,Retail Pharmacy,Loblaw Pharmacy #537,,,,6940 Morrison Street,,,Niagara Falls,L2E7K5,2025/04/09 21:31:23+00,2025/04/09 14:40:57+00,2025/04/09 17:54:59+00,2258561
-75.7234549,45.3900232,321012428,3285714,Pharmacy,Retail Pharmacy,Mcneil Parkdale Pharmacy,,,,1077 Carling Avenue,,,Ottawa,K1Y4K4,2025/04/09 21:32:13+00,2025/04/09 14:41:50+00,2025/04/09 17:54:59+00,2258577
-79.5859101,43.6901625,321007528,30740,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Canadian Mental Health Association (Cmha) Peel Dufferin Branch,,,,10 Carlson Court,Suite: 201,Practice Location,Etobicoke,M9W6L2,2025/04/09 21:34:32+00,2025/04/09 14:32:50+00,2025/04/09 17:54:59+00,2258593
-79.24042,43.1771288,321016011,8723811,Pharmacy,Retail Pharmacy,Sam's Geneva Street Pharmacy,,,,284 Geneva Street Unit 5,,,St Catharines,L2N2E8,2025/04/09 21:37:16+00,2025/04/09 14:48:30+00,2025/04/09 17:54:59+00,2258609
-80.9982617,46.4660425,321007008,2261,Public Health Unit Office,,Sudbury And District Health Unit,Service De Santé Publique De Sudbury Et Du District,,,1300 Paris Street,,Administrative Office,Sudbury,P3E3A3,2025/04/09 21:29:56+00,2025/04/09 14:31:53+00,2025/04/09 17:54:59+00,2258625
-79.4494639,43.9143048,321011734,1477510,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1148,,,,118 Tower Hill Road,,,Richmond Hill,L4E0K6,2025/04/09 21:35:22+00,2025/04/09 14:40:32+00,2025/04/09 17:54:59+00,2258641
-79.378963,43.6520644,321014165,6294672,Pharmacy,Retail Pharmacy,Rexall #8161,,,,159 Yonge Street,,,Toronto,M5C1X7,2025/04/09 21:37:52+00,2025/04/09 14:45:04+00,2025/04/09 17:54:59+00,2258657
-79.7646881,43.4503635,321013514,5324758,Pharmacy,Retail Pharmacy,Origins Phmcy & Home Hlth Care,,,,7-3001 Hospital Gate,,,Oakville,L6M0L8,2025/04/09 21:32:58+00,2025/04/09 14:43:51+00,2025/04/09 17:54:59+00,2258673
-79.2680991,42.9988566,321010234,99490,Integrated Community Health Services Centre,"Fluoroscopy, Radiography, General Ultrasound, Bone Mineral Dxa, Nuclear Medicine - In Vivo - Spect, Nuclear Medicine - In Vivo - General",Greater Niagara Medical Imaging,,Greater Niagara Medical Imaging Inc.,,555 Prince Charles Drive North,Suite 114,,Welland,L3C6B5,2025/04/09 21:31:03+00,2025/04/09 14:37:45+00,2025/04/09 17:54:59+00,2258689
-79.6032417,43.5952273,321013069,4564554,Pharmacy,Retail Pharmacy,Cawthra Drug Store,,,,7&8-680 Silver Creek Boulevard,,,Mississauga,L5A3Z1,2025/04/09 21:32:16+00,2025/04/09 14:43:02+00,2025/04/09 17:54:59+00,2258705
-79.9595725,43.2671082,321016461,9192394,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1056,,,,133 King Street West,,,Dundas,L9H1V3,2025/04/09 21:29:38+00,2025/04/09 14:49:21+00,2025/04/09 17:54:59+00,2258721
-79.2490797,43.8248108,321015568,8203473,Pharmacy,Retail Pharmacy,Majestic City Pharmacy,,,,A1-2900 Markham Road,,,Scarborough,M1X1E6,2025/04/09 21:32:00+00,2025/04/09 14:47:41+00,2025/04/09 17:54:59+00,2258737
-78.715142,46.310566,321017907,5514,Long-Term Care Home,NH non-profit,Algonquin Nursing Home,,,,207 Turcotte Park Road,,,Mattawa,P0H1V0,2025/04/09 21:37:42+00,2025/04/09 16:03:51+00,2025/04/09 17:54:59+00,2258753
-79.6220565,43.5756213,321014441,6709831,Pharmacy,Retail Pharmacy,Swiderski Pharmacy,,,,1-3015 Parkerhill Road,,,Mississagua,L5B4B2,2025/04/09 21:32:38+00,2025/04/09 14:45:35+00,2025/04/09 17:54:59+00,2258769
-81.2196177,42.9333912,321014764,7129038,Pharmacy,Retail Pharmacy,Medisystem Pharmacy 6030,,,,24-30-1100 Dearness Drive,,,London,N6E1N9,2025/04/09 21:36:15+00,2025/04/09 14:46:10+00,2025/04/09 17:54:59+00,2258785
-79.4671872,43.997318,321007784,3231,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Canadian Mental Health Association (Cmha) York Region Branch,,,,15150 Yonge Street,Suite: 201,Practice Location,Aurora,L4G1M2,2025/04/09 21:31:39+00,2025/04/09 14:33:19+00,2025/04/09 17:54:59+00,2258801
-76.1637577,44.3269731,321006694,18098,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,"Lanark, Leeds And Grenville Addictions And Mental Health",,,,21 Mill Street,,Practice Location,Gananoque,K7G2L5,2025/04/09 21:35:02+00,2025/04/09 14:31:18+00,2025/04/09 17:54:59+00,2258817
-74.735255,45.029757,321011706,1397394,Pharmacy,Retail Pharmacy,Jean Coutu Pharmacy #64,,,,5 9th Street East,,,Cornwall,K6H6R3,2025/04/09 21:34:35+00,2025/04/09 14:40:29+00,2025/04/09 17:54:59+00,2258833
-79.3718669,43.6684672,321012194,2726679,Pharmacy,Retail Pharmacy,St James Drug Mart,,,,118-240 Wellesley Street East,,,Toronto,M4X1G5,2025/04/09 21:36:43+00,2025/04/09 14:41:24+00,2025/04/09 17:54:59+00,2258849
-84.770614,47.9977403,321006273,10513,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (Cmha) Algoma,,,,22 Broadway Avenue,,Practice Location,Wawa,P0S1K0,2025/04/09 21:29:56+00,2025/04/09 14:30:23+00,2025/04/09 17:54:59+00,2258865
-79.4120953,43.7609047,321010142,9213446,Integrated Community Health Services Centre,General Ultrasound,Anova Fertility & Reproductive Health,,9421467 Canada Inc.,,25 Sheppard Avenue West,Suite 650,,North York,M2N6S6,2025/04/09 21:31:47+00,2025/04/09 14:37:36+00,2025/04/09 17:54:59+00,2258881
-80.4398229,43.4337587,321013593,5437397,Pharmacy,Retail Pharmacy,Weber Community Pharmacy,,,,1360 Weber Street East,,,Kitchener,N2A1C4,2025/04/09 21:35:05+00,2025/04/09 14:44:00+00,2025/04/09 17:54:59+00,2258897
-79.4400027,43.8803524,321013110,4628558,Pharmacy,Retail Pharmacy,Dara Pharmacy,,,,107-10376 Yonge Street,,,Richmond Hill,L4C3B8,2025/04/09 21:34:19+00,2025/04/09 14:43:07+00,2025/04/09 17:54:59+00,2258913
-79.9071016,43.2211653,321012472,3368279,Pharmacy,Retail Pharmacy,Shoppers Drug Mart 1045,,,,1300 Garth Street,,,Hamilton,L9C4L7,2025/04/09 21:30:43+00,2025/04/09 14:41:55+00,2025/04/09 17:54:59+00,2258929
-81.0064492,46.4822056,321016252,9006470,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1540,,,,112-359 Riverside Drive,,,Sudbury,P3E1H5,2025/04/09 21:36:12+00,2025/04/09 14:48:58+00,2025/04/09 17:54:59+00,2258945
-80.2512082,43.135447,321007647,31226,Mental Health and Addiction Organization,Addiction Services,Soar Community Services,,,,73 Murray Street,,Practice Location,Brantford,N3S5N8,2025/04/09 21:31:21+00,2025/04/09 14:33:03+00,2025/04/09 17:54:59+00,2258961
-89.2610811,48.4052689,321007088,2379,Mental Health and Addiction Organization,Addiction Services,St. Joseph's Care Group,,,,667 Sibley Drive,Balmoral Centre,Practice Location,Thunder Bay,P7B5G7,2025/04/09 21:34:40+00,2025/04/09 14:32:02+00,2025/04/09 17:54:59+00,2258977
-75.6384104,45.4439826,321017315,7530,Hospital,Corporation,Hopital Montfort,,Hopital Montfort,,713 chemin Montreal,,,Ottawa,K1K0T2,2025/04/09 21:34:28+00,2025/04/09 14:50:57+00,2025/04/09 17:54:59+00,2258993
-79.226403,43.7958592,321015344,7918159,Pharmacy,Retail Pharmacy,Lapsley IDA Pharmacy,,,,27 Lapsley Road,,,Scarborough,M1B1K1,2025/04/09 21:37:30+00,2025/04/09 14:47:16+00,2025/04/09 17:54:59+00,2259009
-79.3872003,43.7685728,321015477,8089793,Pharmacy,Retail Pharmacy,Loblaw Pharmacy #1019,,,,2877 Bayview Avenue,,,Toronto,M2K2S3,2025/04/09 21:31:21+00,2025/04/09 14:47:30+00,2025/04/09 17:54:59+00,2259025
-81.2375514,42.7689978,321017599,1056,Long-Term Care Home,MHFA,Elgin Manor,,,,39262 Fingal Line,,,St Thomas,N5P3S5,2025/04/09 21:32:33+00,2025/04/09 16:03:50+00,2025/04/09 17:54:59+00,2259041
-74.6514265,45.5192969,321011938,2021519,Pharmacy,Retail Pharmacy,Vankleekhill Pharmacy,,,,28 Main Street,,,Vankleekhill,K0B1R0,2025/04/09 21:30:23+00,2025/04/09 14:40:55+00,2025/04/09 17:54:59+00,2259057
-76.4858122,44.2353314,321017280,9836056,Pharmacy,Long Term Care Facility,Providence Manor,,,,275 Sydenham Street,,,Kingston,K7K1G7,2025/04/09 21:37:21+00,2025/04/09 14:50:53+00,2025/04/09 17:54:59+00,2259073
-81.489697,43.3604543,321006616,16894,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (Cmha) Thames Valley Addiction And Mental Health Services,,,,149 Thames Road West,Suite: B,Practice Location,Exeter,N0M1S3,2025/04/09 21:33:41+00,2025/04/09 14:31:09+00,2025/04/09 17:54:59+00,2259089
-94.1622774,48.678265,321010611,999369,Seniors Active Living Centre,,Township Of Morley - Stratton Seniors Friendship Centre,Township Of Morley - Stratton Seniors Friendship Centre,,,11605 Highway 11,,,Stratton,P0W1N0,2025/04/09 21:30:21+00,2025/04/09 14:38:25+00,2025/04/09 17:54:59+00,2259105
-79.8751485,43.5182734,321007214,2657,Mental Health and Addiction Organization,Mental Health Services,Supported Training And Rehabilitation In Diverse Environments (Stride),,,,55 Ontario Street South,Suite: 26,Administration And Practice Location,Milton,L9T2M3,2025/04/09 21:35:25+00,2025/04/09 14:32:16+00,2025/04/09 17:54:59+00,2259121
-75.6834869,44.598868,321014657,7006152,Pharmacy,Retail Pharmacy,Leeds Pharmacy,,,,C-163 Ormond Street,,,Brockville,K6V7E6,2025/04/09 21:37:56+00,2025/04/09 14:45:58+00,2025/04/09 17:54:59+00,2259137
-81.3950874,44.4223342,321011745,1497990,Pharmacy,Retail Pharmacy,Wal-Mart Pharmacy,,,,5122 Highway 21,,,Port Elgin,N0H2C0,2025/04/09 21:32:59+00,2025/04/09 14:40:33+00,2025/04/09 17:54:59+00,2259153
-79.189041,43.8032064,321013883,5924510,Pharmacy,Long Term Care Facility,Extendicare/Rouge Valley,,,,551 Conlins Avenue,,,Toronto,M1B5S1,2025/04/09 21:31:02+00,2025/04/09 14:44:32+00,2025/04/09 17:54:59+00,2259169
-75.7093896,45.4071234,321017034,9661715,Pharmacy,Retail Pharmacy,Pharma Can Drug Mart,,,,71 Willow Street,,,Ottawa,K1R6V9,2025/04/09 21:32:19+00,2025/04/09 14:50:26+00,2025/04/09 17:54:59+00,2259185
-80.3201755,42.8420749,321011143,S0544,Licensed Retirement Home,,Aspira Cedar Crossing Retirement Living,,,,395 Cedar Street,,,Simcoe,N3Y2J2,2025/04/09 21:37:11+00,2025/04/09 14:39:24+00,2025/04/09 17:54:59+00,2259201
-80.9263861,44.5643787,321007418,30294,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Southwest Ontario Aboriginal Health Access Centre,,,,733 9th Avenue East,Suite: Unit #3,Practice Location,Owen Sound,N4K3E6,2025/04/09 21:30:16+00,2025/04/09 14:32:39+00,2025/04/09 17:54:59+00,2259217
-79.2486357,42.9791545,321008394,4027,Licensed Lab and Specimen Collection Centre,Licensed Hospital Lab Location,Niagara Health System - Welland County General Hospital Site,,,,65 Third Street,,"Billing, Administration, & Practice Address",Welland,L3B4W6,2025/04/09 21:35:37+00,2025/04/09 14:34:25+00,2025/04/09 17:54:59+00,2259233
-88.2743606,49.0148908,321017523,7390,Hospital,Corporation,Nipigon District Memorial Hospital,,Nipigon District Memorial Hospital,,125 Hogan Road,,,Nipigon,P0T2J0,2025/04/09 21:37:53+00,2025/04/09 14:51:21+00,2025/04/09 17:54:59+00,2259249
-83.0663346,42.3053576,321013034,4495013,Pharmacy,Retail Pharmacy,Student Centre Pharmacy,,,,401 Sunset Boulevard,University Of Windsor,,Windsor,N9B3P4,2025/04/09 21:33:37+00,2025/04/09 14:42:59+00,2025/04/09 17:54:59+00,2259265
-80.9689815,43.3865628,321011842,1740,Pharmacy,Retail Pharmacy,Stratford North End Pharmacy,,,,East-240 Graff Avenue,,,Stratford,N5A6Y2,2025/04/09 21:35:14+00,2025/04/09 14:40:44+00,2025/04/09 17:54:59+00,2259281
-79.6567361,43.6237115,321016324,9073637,Pharmacy,Retail Pharmacy,Trio Compounding Lab & Phcy,,,,391B Matheson Boulevard East,,,Mississauga,L4Z2H2,2025/04/09 21:32:17+00,2025/04/09 14:49:06+00,2025/04/09 17:54:59+00,2259297
-80.683518,48.759317,321017009,9646993,Pharmacy,Retail Pharmacy,Family Care Pharmacy,,,,125 Ambridge Drive,,,Iroquois Falls,P0K1G0,2025/04/09 21:30:35+00,2025/04/09 14:50:23+00,2025/04/09 17:54:59+00,2259313
-80.9924958,46.491091,321010471,999227,Seniors Active Living Centre,,One Eleven Senior Citizens Centre,One Eleven Senior Citizens Centre,,,111 Larch Street,,,Sudbury,P3E4T5,2025/04/09 21:29:46+00,2025/04/09 14:38:10+00,2025/04/09 17:54:59+00,2259329
-79.7179426,43.7594005,321015519,8141511,Pharmacy,Retail Pharmacy,Brampton Lifecare Pharmacy,,,,2740 North Park Drive,Unit 34,,Brampton,L6S0E9,2025/04/09 21:38:05+00,2025/04/09 14:47:35+00,2025/04/09 17:54:59+00,2259345
-78.3446966,44.2982449,321008220,3851,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs,,,,849 Alexander Court,,Practice Address,Peterborough,K9J7H8,2025/04/09 21:35:11+00,2025/04/09 14:34:06+00,2025/04/09 17:54:59+00,2259361
-79.2692406,43.7076668,321012110,2510152,Pharmacy,Retail Pharmacy,Pharmasave Pharmacy,,,,462 Birchmount Road,,,Scarborough,M1K1N8,2025/04/09 21:37:47+00,2025/04/09 14:41:14+00,2025/04/09 17:54:59+00,2259377
-89.3215452,48.4867528,321007089,2381,Mental Health and Addiction Organization,Addiction Services,Dilico Anishinabek Family Care,,,,226 Dog Lake Road,,Practice Location,Thunder Bay,P7G2G2,2025/04/09 21:33:01+00,2025/04/09 14:32:02+00,2025/04/09 17:54:59+00,2259393
-80.3684984,43.7012074,321011436,T0623,Licensed Retirement Home,,Highland Manor Retirement Lodge,,,,110 Belsyde Avenue East,,,Fergus,N1M1Z5,2025/04/09 21:29:44+00,2025/04/09 14:39:57+00,2025/04/09 17:54:59+00,2259409
-77.400025,44.1637878,321006591,16294,Mental Health and Addiction Organization,Mental Health Services,Quinte Health,,,,250 Sydney Street,Suite: Unit #131,Practice Location,Belleville,K8N3Z3,2025/04/09 21:35:18+00,2025/04/09 14:31:06+00,2025/04/09 17:54:59+00,2259425
-77.4760216,46.0913299,321006624,16923,Mental Health and Addiction Organization,Mental Health Services,Jewish Family Services Of Ottawa-Carleton,,,,109 Banting Drive,,Practice Location,Deep River,K0J1P0,2025/04/09 21:34:11+00,2025/04/09 14:31:10+00,2025/04/09 17:54:59+00,2259441
-79.4930632,43.670479,321014181,631490,Pharmacy,Retail Pharmacy,White's Pharmacy,,,,725 Jane Street,,,Toronto,M6M4B3,2025/04/09 21:36:43+00,2025/04/09 14:45:06+00,2025/04/09 17:54:59+00,2259457
-81.0019344,46.4916712,321006271,105,Indigenous Primary Health Care Organization,Site,Shkagamik-Kwe Health Centre  Sweet Grass,,,,161 Applegrove Street,,,Sudbury,P3C1N2,2025/04/09 21:31:56+00,2025/04/09 14:30:22+00,2025/04/09 17:54:59+00,2259473
-79.6851644,43.4557627,321009135,459694,Community Health Centre,Main,Support House Community Health Centre Mobile Team,,,,165 Cross Avenue,Suite 201,,Oakville,L6J0A9,2025/04/09 21:35:00+00,2025/04/09 14:35:45+00,2025/04/09 17:54:59+00,2259489
-80.0580135,46.97518,321009028,4478,Community Support Service,,Temagami First Nation,,,,Bear Island,,,Temagami,P0H1C0,2025/04/09 21:34:08+00,2025/04/09 14:35:34+00,2025/04/09 17:54:59+00,2259505
-80.982663,43.3704366,321016958,9605395,Pharmacy,Retail Pharmacy,Sinclair Pharmacy,,,,12 Wellington Street,,,Stratford,N5A2L2,2025/04/09 21:30:37+00,2025/04/09 14:50:17+00,2025/04/09 17:54:59+00,2259521
-78.9464544,43.8920965,321011204,T0078,Licensed Retirement Home,,Chartwell Colonial Retirement Residence,,,,101 Manning Road,,,Whitby,L1N9M2,2025/04/09 21:33:42+00,2025/04/09 14:39:31+00,2025/04/09 17:54:59+00,2259537
-78.9444216,43.8796597,321009679,68591,Integrated Community Health Services Centre,"Bone Mineral Dxa, Radiography, General Ultrasound, Vascular Ultrasound",Whitby Medical X-Ray And Ultrasound,,J.B.V. Management Services Ltd.,,220 Dundas Street West,Suite 402,,Whitby,L1N8M7,2025/04/09 21:36:19+00,2025/04/09 14:36:44+00,2025/04/09 17:54:59+00,2259553
-79.4756803,43.1657995,321016909,9576915,Pharmacy,Retail Pharmacy,Beamsville's Community Phcy,,,,4987 King Street,Po Box 298,,Beamsville,L0R1B0,2025/04/09 21:36:59+00,2025/04/09 14:50:12+00,2025/04/09 17:54:59+00,2259569
-79.4694819,43.7862956,321016791,9505671,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #819,,,,1881 Steeles Avenue West,,,Toronto,M3H5Y4,2025/04/09 21:34:48+00,2025/04/09 14:49:58+00,2025/04/09 17:54:59+00,2259585
-79.3340642,43.7140201,321011455,1022672,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1516,,,,747 Don Mills Road Unit 12,,,Toronto,M3C1T2,2025/04/09 21:34:27+00,2025/04/09 14:40:00+00,2025/04/09 17:54:59+00,2259601
-80.0170117,45.3410307,321012572,3576918,Pharmacy,Hospital Outpatient Dispensiary,West Parry Sound Health Centre,,,,6 Albert Street,,,Parry Sound,P2A3A4,2025/04/09 21:30:26+00,2025/04/09 14:42:07+00,2025/04/09 17:54:59+00,2259617
-82.9924514,42.3015354,321016852,9541711,Pharmacy,Retail Pharmacy,Royal Drugs,,,,170-2224 Walker Road,,,Windsor,N8W5L7,2025/04/09 21:35:57+00,2025/04/09 14:50:06+00,2025/04/09 17:54:59+00,2259633
-77.5878844,44.100647,321008252,3883911,Community Health Centre,Satellite,Belleville Quinte West Community Health Centre Trenton,,,,69 Catherine Street,,,Trenton,K8V5K9,2025/04/09 21:38:25+00,2025/04/09 14:34:10+00,2025/04/09 17:54:59+00,2259649
-79.8139432,43.3361748,321012179,2683590,Pharmacy,Retail Pharmacy,Burlington St. Joseph's Phrmcy,,,,906 Brant Street,,,Burlington,L7R2J5,2025/04/09 21:36:51+00,2025/04/09 14:41:22+00,2025/04/09 17:54:59+00,2259665
-79.8419276,43.2484723,321009204,4805,Community Support Service,,Banyan Community Services Inc,,,,681 Main Street East,,,Hamilton,L8M1K3,2025/04/09 21:31:25+00,2025/04/09 14:35:53+00,2025/04/09 17:54:59+00,2259681
-78.5410026,44.5399987,321017781,1887,Long-Term Care Home,NH for-profit,Case Manor Community,,,,28 Boyd Street,,,Bobcaygeon,K0M1A0,2025/04/09 21:32:38+00,2025/04/09 16:03:50+00,2025/04/09 17:54:59+00,2259697
-79.248551,43.9710898,321006314,1112352,Integrated Community Health Services Centre,General Ultrasound,Stouffville Diagnostic Ultrasound Services,,1049604 Ontario Inc.,,6212 Main Street,Suite 102,,Stouffville,L4A2S5,2025/04/09 21:33:56+00,2025/04/09 14:30:27+00,2025/04/09 17:54:59+00,2259713
-79.4473019,43.7719867,321007133,2468,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,North York General Hospital,,,,555 Finch Avenue West,,Administrative Office,Toronto,M2R1N5,2025/04/09 21:33:29+00,2025/04/09 14:32:07+00,2025/04/09 17:54:59+00,2259729
-79.8025344,43.3171423,321008366,4014,Licensed Lab and Specimen Collection Centre,Licensed Hospital Lab Location,Joseph Brant Hospital,,,,1245 Lakeshore Road,,"Billing, Administration, & Practice Address",Burlington,L7S0A2,2025/04/09 21:35:56+00,2025/04/09 14:34:22+00,2025/04/09 17:54:59+00,2259745
-91.9160066,50.0983412,321014415,6672914,Pharmacy,Retail Pharmacy,Rx Drug Mart #5007,,,,14 Fourth Avenue,,,Sioux Lookout,P8T1C5,2025/04/09 21:38:18+00,2025/04/09 14:45:32+00,2025/04/09 17:54:59+00,2259761
-75.7023136,45.3682787,321015719,8383634,Pharmacy,Retail Pharmacy,Meadowlands Pharmacy,,,,885 Meadowlands Drive,,,Ottawa,K2C1N6,2025/04/09 21:37:16+00,2025/04/09 14:47:57+00,2025/04/09 17:54:59+00,2259777
-94.5568558,49.7610878,321008602,4147,Community Support Service,,Northwestern Independent Living Services Inc.,,,,916 Ottawa Street,,,Kenora & Kenora P.P.,P0X1C0,2025/04/09 21:31:15+00,2025/04/09 14:34:48+00,2025/04/09 17:54:59+00,2259793
-79.9267768,43.2099746,321010957,S0088,Licensed Retirement Home,,Westmount Terrace I,,,,723 Rymal Road West,,,Hamilton,L9B2W1,2025/04/09 21:37:20+00,2025/04/09 14:39:04+00,2025/04/09 17:54:59+00,2259809
